,language,region,quoteType,typeDisp,quoteSourceName,triggerable,customPriceAlertConfidence,marketState,currency,regularMarketChangePercent,regularMarketPrice,gmtOffSetMilliseconds,esgPopulated,earningsTimestampStart,earningsTimestampEnd,trailingAnnualDividendRate,trailingAnnualDividendYield,epsTrailingTwelveMonths,epsForward,epsCurrentYear,priceEpsCurrentYear,sharesOutstanding,bookValue,fiftyDayAverage,fiftyDayAverageChange,fiftyDayAverageChangePercent,twoHundredDayAverage,twoHundredDayAverageChange,twoHundredDayAverageChangePercent,marketCap,forwardPE,priceToBook,sourceInterval,exchangeDataDelayedBy,averageAnalystRating,tradeable,cryptoTradeable,firstTradeDateMilliseconds,priceHint,postMarketChangePercent,postMarketTime,postMarketPrice,postMarketChange,regularMarketChange,regularMarketTime,regularMarketDayHigh,regularMarketDayRange,regularMarketDayLow,regularMarketVolume,regularMarketPreviousClose,bid,ask,bidSize,askSize,fullExchangeName,financialCurrency,regularMarketOpen,averageDailyVolume3Month,averageDailyVolume10Day,fiftyTwoWeekLowChange,fiftyTwoWeekLowChangePercent,fiftyTwoWeekRange,fiftyTwoWeekHighChange,fiftyTwoWeekHighChangePercent,fiftyTwoWeekLow,fiftyTwoWeekHigh,dividendDate,earningsTimestamp,exchange,shortName,longName,messageBoardId,exchangeTimezoneName,exchangeTimezoneShortName,market,price,ipoExpectedDate,trailingPE,displayName,prevName,nameChangeDate,newListingDate,underlyingSymbol,openInterest
AACG,en-US,US,EQUITY,Equity,Nasdaq Real Time Price,True,HIGH,CLOSED,USD,5.3921638,2.15,-18000000,False,1678877940.0,1679313600.0,0.0,0.0,-0.153,-1.22,-0.89,-2.4157305,31376900.0,4.453,1.487,0.6630001,0.44586423,1.5859,0.56410015,0.35569718,67460336.0,-1.7622951,0.48282057,15,0,1.5 - Strong Buy,False,False,1201617000000.0,4,6.51162,1676681983.0,2.29,0.14,0.11000013,1676667568,2.32,2.04 - 2.32,2.04,171655,2.04,2.04,2.39,10,11.0,NasdaqGM,CNY,2.18,12675,37320,1.2700001,1.443182,0.88 - 2.64,-0.49,-0.18560606,0.88,2.64,1535068800.0,1669856400.0,NGM,ATA Creativity Global,ATA Creativity Global,finmb_39920439,America/New_York,EST,us_market,2.15,,,,,,,,
AACI,en-US,US,EQUITY,Equity,Delayed Quote,True,HIGH,CLOSED,USD,-0.09960388,10.03,-18000000,False,,,0.0,0.0,-0.203,,,,20709500.0,-0.241,10.12154,-0.09154034,-0.009044112,9.96248,0.06752014,0.0067774435,207716272.0,,-41.618256,15,0,,False,False,1636554600000.0,2,,,,,-0.010000229,1676666906,10.14,10.03 - 10.14,10.03,6416,10.04,10.03,16.03,11,8.0,NasdaqGM,USD,10.14,52034,16810,1.4699993,0.17172888,8.56 - 12.2,-2.17,-0.17786886,8.56,12.2,,,NGM,Armada Acquisition Corp. I,Armada Acquisition Corp. I,finmb_706895895,America/New_York,EST,us_market,10.03,2021-11-10,,,,,,,
AADI,en-US,US,EQUITY,Equity,Nasdaq Real Time Price,True,HIGH,CLOSED,USD,0.5128241,11.76,-18000000,False,1678883400.0,1679315400.0,0.0,0.0,4.7,-2.53,-2.94,-4.0,24395100.0,6.932,12.5378,-0.7777996,-0.062036373,13.173375,-1.4133749,-0.10729027,286886368.0,-4.6482215,1.69648,15,0,1.6 - Buy,False,False,1518791400000.0,2,0.0,1676668888.0,11.76,0.0,0.06000042,1676667604,11.82,11.74 - 11.82,11.74,80368,11.7,11.6,18.84,10,8.0,NasdaqCM,USD,11.8,92106,168380,0.7600002,0.06909093,11.0 - 20.09,-8.33,-0.41463414,11.0,20.09,,1668000600.0,NCM,"Aadi Bioscience, Inc.","Aadi Bioscience, Inc.",finmb_430225247,America/New_York,EST,us_market,11.76,,2.502128,Aadi Bioscience,,,,,
AAME,en-US,US,EQUITY,Equity,Delayed Quote,True,HIGH,CLOSED,USD,2.0661137,2.47,-18000000,False,1679569140.0,1679918400.0,0.02,0.008264462,0.14,,,,20367200.0,4.805,2.4898,-0.019799948,-0.007952425,2.8017,-0.3317001,-0.11839243,50306984.0,,0.5140479,15,0,,False,False,322151400000.0,4,2.8340054,1676679499.0,2.54,0.06999993,0.049999952,1676660903,2.55,2.28 - 2.55,2.28,21958,2.42,2.33,2.54,11,8.0,NasdaqGM,USD,2.44,4537,5570,0.37000012,0.17619054,2.1 - 3.79,-1.3199999,-0.34828496,2.1,3.79,1651017600.0,1667936254.0,NGM,Atlantic American Corporation,Atlantic American Corporation,finmb_252124,America/New_York,EST,us_market,2.47,,17.642857,Atlantic American,,,,,
AAOI,en-US,US,EQUITY,Equity,Nasdaq Real Time Price,True,HIGH,CLOSED,USD,-5.0847487,2.8,-18000000,False,1677186000.0,1677186000.0,0.0,0.0,-2.01,-0.83,-1.12,-2.5,28622500.0,7.076,2.2802,0.51979995,0.22796243,2.299775,0.50022507,0.21751045,80143000.0,-3.373494,0.39570376,15,0,2.7 - Hold,False,False,1380202200000.0,4,6.42857,1676678730.0,2.98,0.18,-0.1500001,1676667604,3.0,2.7927 - 3.0,2.7927,207428,2.95,2.7,2.99,13,8.0,NasdaqGM,USD,2.97,161454,160430,1.3199999,0.89189184,1.48 - 4.33,-1.53,-0.35334873,1.48,4.33,,1677186000.0,NGM,"Applied Optoelectronics, Inc.","Applied Optoelectronics, Inc.",finmb_1043391,America/New_York,EST,us_market,2.8,,,Applied Optoelectronics,,,,,
AAON,en-US,US,EQUITY,Equity,Nasdaq Real Time Price,True,HIGH,CLOSED,USD,1.6776813,80.0,-18000000,False,1677531600.0,1677531600.0,0.38,0.00482969,1.25,2.52,1.7,47.058823,53199500.0,9.844,76.5462,3.4537964,0.045120414,63.59825,16.401749,0.2578962,4255960064.0,31.746033,8.126778,15,0,2.0 - Buy,False,False,724516200000.0,2,0.0,1676668887.0,80.0,0.0,1.3199997,1676667605,80.86,78.0 - 80.86,78.0,248960,78.68,80.4,125.12,9,8.0,NasdaqGS,USD,78.87,179219,168380,32.5,0.68421054,47.5 - 83.0,-3.0,-0.036144577,47.5,83.0,1671148800.0,1677531600.0,NMS,"AAON, Inc.","AAON, Inc.",finmb_320500,America/New_York,EST,us_market,80.0,,64.0,AAON,,,,,
AAPL,en-US,US,EQUITY,Equity,Delayed Quote,True,HIGH,CLOSED,USD,-0.75467026,152.55,-18000000,False,1682506740.0,1682942400.0,0.91,0.0059202393,5.89,6.58,5.97,25.552765,15821899776.0,3.581,140.098,12.451996,0.088880606,147.39375,5.15625,0.034982827,2413630849024.0,23.183891,42.59983,15,0,1.9 - Buy,False,False,345479400000.0,2,0.058994647,1676681997.0,152.64,0.08999634,-1.1600037,1676667604,153.0,150.85 - 153.0,150.85,59144118,153.71,152.56,152.64,14,22.0,NasdaqGS,USD,152.35,75166090,64755690,28.380005,0.22855766,124.17 - 179.61,-27.059998,-0.15065975,124.17,179.61,1676505600.0,1675375200.0,NMS,Apple Inc.,Apple Inc.,finmb_24937,America/New_York,EST,us_market,152.55,,25.899832,Apple,,,,,
AAWW,en-US,US,EQUITY,Equity,Delayed Quote,True,HIGH,CLOSED,USD,0.04906322,101.95,-18000000,False,1677159000.0,1677159000.0,0.0,0.0,12.46,12.57,15.1,6.751655,28364200.0,103.396,101.47,0.47999573,0.00473042,90.09205,11.857948,0.13162036,2891730176.0,8.11058,0.98601484,15,0,2.7 - Hold,False,False,1131546600000.0,2,0.049046643,1676670839.0,102.0,0.05000305,0.049995422,1676667605,102.17,101.89 - 102.17,101.89,300267,101.9,102.0,102.25,8,13.0,NasdaqGS,USD,102.17,339436,285170,43.249996,0.7367972,58.7 - 102.27,-0.3199997,-0.0031289693,58.7,102.27,,1677159000.0,NMS,Atlas Air Worldwide Holdings,"Atlas Air Worldwide Holdings, Inc.",finmb_340272,America/New_York,EST,us_market,101.95,,8.182182,Atlas Air Worldwide,,,,,
ABCB,en-US,US,EQUITY,Equity,,True,HIGH,CLOSED,USD,0.7620987,48.92,-18000000,False,1682333940.0,1682683200.0,0.6,0.012358394,4.99,5.22,5.16,9.48062,69369000.0,46.243,48.037,0.8829994,0.018381653,46.95085,1.9691467,0.041940596,3393531392.0,9.371648,1.0578898,15,0,2.2 - Buy,False,False,769354200000.0,2,4.2314057,1676670010.0,50.99,2.0700035,0.36999893,1676667604,49.12,48.23 - 49.12,48.23,357868,48.55,19.55,78.17,11,11.0,NasdaqGS,USD,48.55,322242,288820,10.699997,0.27995804,38.22 - 54.24,-5.3200035,-0.098082654,38.22,54.24,1673222400.0,1674828000.0,NMS,Ameris Bancorp,Ameris Bancorp,finmb_343936,America/New_York,EST,us_market,48.92,,9.803607,,,,,,
ABCL,en-US,US,EQUITY,Equity,,True,HIGH,CLOSED,USD,0.94737,9.59,-18000000,False,1677013200.0,1677013200.0,0.0,0.0,0.76,-0.45,0.64,14.984376,286100000.0,4.375,10.2036,-0.6135998,-0.060135618,10.492125,-0.9021244,-0.0859811,2743698944.0,-21.311111,2.1920002,15,0,1.8 - Buy,False,False,1607697000000.0,2,-1.0427568,1676680738.0,9.49,-0.10000038,0.09000015,1676667605,9.66,9.2607 - 9.66,9.2607,2806823,9.5,9.49,9.61,9,18.0,NasdaqGS,USD,9.45,1800418,1777120,4.17,0.7693727,5.42 - 14.97,-5.38,-0.35938543,5.42,14.97,,1677013200.0,NMS,AbCellera Biologics Inc.,AbCellera Biologics Inc.,finmb_280568380,America/New_York,EST,us_market,9.59,2020-12-11,12.618422,AbCellera Biologics,,,,,
ABCM,en-US,US,EQUITY,Equity,Nasdaq Real Time Price,True,HIGH,CLOSED,USD,-0.41407502,14.43,-18000000,False,,,0.0,0.0,0.08,,,,229272000.0,3.183,15.608,-1.1779995,-0.07547408,15.1495,-0.7194996,-0.04749329,3308395008.0,,4.533459,15,0,2.4 - Buy,False,False,1603373400000.0,2,0.0,1676667614.0,14.43,0.0,-0.059999466,1676667605,14.61,14.26 - 14.61,14.26,527992,14.49,10.44,15.58,9,8.0,NasdaqGS,GBP,14.48,732332,469580,1.8900003,0.15071774,12.54 - 19.39,-4.959999,-0.25580192,12.54,19.39,,,NMS,Abcam plc,Abcam plc,finmb_9560513,America/New_York,EST,us_market,14.43,2020-10-22,180.37502,Abcam,,,,,
ABEO,en-US,US,EQUITY,Equity,,True,HIGH,CLOSED,USD,1.7094103,2.38,-18000000,False,1680089400.0,1680521400.0,0.0,0.0,38.68,-1.92,-1.27,-1.8740158,17175800.0,2.009,2.7104,-0.3304,-0.12190082,3.7719,-1.3918998,-0.36901823,40878404.0,-1.2395834,1.184669,15,0,2.0 - Buy,False,False,338218200000.0,4,3.781509,1676677897.0,2.47,0.089999914,0.0400002,1676667604,2.44,2.32 - 2.44,2.32,124478,2.34,2.32,2.39,8,14.0,NasdaqCM,USD,2.32,244118,132920,0.06000018,0.025862148,2.32 - 9.25,-6.87,-0.74270266,2.32,9.25,,1668429900.0,NCM,Abeona Therapeutics Inc.,Abeona Therapeutics Inc.,finmb_360935,America/New_York,EST,us_market,2.38,,0.061530508,Abeona Therapeutics,,,,,
ABGI,en-US,US,EQUITY,Equity,,True,HIGH,CLOSED,USD,0.09842745,10.17,-18000000,False,,,0.0,0.0,0.01,,,,15566300.0,-0.27,10.1115,0.05850029,0.0057855207,9.93452,0.23548031,0.02370324,196612544.0,,-37.666664,15,0,,False,False,1613572200000.0,2,,,,,0.010000229,1676661131,10.17,10.16 - 10.17,10.16,50093,10.16,10.16,16.25,11,12.0,NasdaqCM,USD,10.16,51434,35620,0.46000004,0.047373846,9.71 - 10.42,-0.25,-0.023992322,9.71,10.42,,,NCM,ABG Acquisition Corp. I,ABG Acquisition Corp. I,finmb_702953482,America/New_York,EST,us_market,10.17,2021-02-17,1017.0,,,,,,
