Order ID,Order Date,Year,Month,Month Date,Sales,Price,Revenue,Profit,Channel,Product,Category,SubCategory,Supplier,Region,Country
5162,6/23/2019,2019,6,Jun,6,1282000,7692000,300000,Sosial Media,SV Car Video AM/FM E1001 Silver,TV and Video,Car Video,Southridge Video,Asia,Armenia
13755,7/7/2019,2019,7,Jul,9,1143000,10287000,6750000,Sosial Media,Proseware All-In-One Photo Printer M200 Green,Computers,"Printers, Scanners & Fax","Proseware, Inc.",Asia,Armenia
10178,8/23/2021,2021,8,Aug,54,8038000,434052000,33264000,Website,WWI 1GB Pulse Smart pen E50 White,Audio,Recording Pen,Wide World Importers,Amerika,USA
20324,12/3/2019,2019,12,Dec,12,3612000,43344000,21360000,Sosial Media,The Phone Company Sharp Touch Screen Phones M910 Black,Cell phones,Touch Screen Phones ,The Phone Company,Asia,Armenia
3201,8/20/2020,2020,8,Aug,9,6671000,60039000,58176000,Sosial Media,Adventure Works Laptop15.4W M1548 Silver,Computers,Laptops,Adventure Works,Asia,Armenia
5153,6/4/2020,2020,6,Jun,13,12675000,164775000,129194000,Sosial Media,"Fabrikam Trendsetter 1/3"" 8.5mm X200 Blue",Cameras,Camcorders,"Fabrikam, Inc.",Asia,Armenia
5311,2/19/2020,2020,2,Feb,5,1560000,7800000,4790000,Sosial Media,A. Datum SLR Camera M142 Orange,Cameras,Digital SLR Cameras,A. Datum Corporation,Asia,Armenia
8783,3/26/2020,2020,3,Mar,10,950000,9500000,3740000,Sosial Media,Contoso Telephoto Conversion Lens M350 Black,Cameras,Cameras & Camcorders Accessories,"Contoso, Ltd",Asia,Armenia
12902,10/9/2020,2020,10,Oct,12,4745000,56940000,13404000,Sosial Media,Contoso Home Theater System 4.1 Channel M1400 Brown,TV and Video,Home Theater System,"Contoso, Ltd",Asia,Armenia
13261,6/23/2020,2020,6,Jun,13,273000,3549000,442000,Sosial Media,Contoso Wireless Laser Mouse E50 Grey,Computers,Computers Accessories,"Contoso, Ltd",Asia,Armenia
13423,4/25/2020,2020,4,Apr,6,1739000,10434000,5976000,Sosial Media,Contoso SLR Camera M146 Orange,Cameras,Digital SLR Cameras,"Contoso, Ltd",Asia,Armenia
13773,11/21/2020,2020,11,Nov,12,18470000,221640000,180240000,Sosial Media,"Adventure Works 52"" LCD HDTV X790W Silver",TV and Video,Televisions,Adventure Works,Asia,Armenia
15748,2/6/2020,2020,2,Feb,5,950000,4750000,1805000,Sosial Media,WWI Screen 100in M1609 Black,Computers,Projectors & Screens,Wide World Importers,Asia,Armenia
16074,12/15/2020,2020,12,Dec,12,7188000,86256000,83988000,Sosial Media,WWI Laptop16 M0160 Black,Computers,Laptops,Wide World Importers,Asia,Armenia
16587,12/14/2020,2020,12,Dec,12,10272000,123264000,113700000,Sosial Media,"Fabrikam Business Videographer 1/3"" 8.5mm M380 Blue",Cameras,Camcorders,"Fabrikam, Inc.",Asia,Armenia
